category	cell_type	cell_type_clean	file_num	mark	cell_type_clean2
GI	colon_smooth_muscle	Colon_smooth_muscle	201	H3K27ac	Colon smooth muscle
GI	stomach_smooth_muscle	Stomach_smooth_muscle	202	H3K27ac	Stomach smooth muscle
GI	rectal_smooth_muscle	Rectal_smooth_muscle	203	H3K27ac	Rectal smooth muscle
GI	Duodenum_smooth_muscle	Duodenum_smooth_muscle	204	H3K27ac	Duodenum smooth muscle
SkeletalMuscle	Skeletal_muscle	Skeletal_muscle	205	H3K27ac	Skeletal muscle
Other	AdiposeNuclei	Adipose_nuclei	206	H3K27ac	Adipose nuclei
GI	rectal_mucosa	Rectal_mucosa	207	H3K27ac	Rectal mucosa
GI	colonic_mucosa	Colonic_mucosa	208	H3K27ac	Colonic mucosa
GI	Duodenum_mucosa	Duodenum_mucosa	209	H3K27ac	Duodenum mucosa
Liver	Liver1	Liver	210	H3K27ac	Liver
Adrenal_Pancreas	Pancreatic_Islets	Pancreatic_islets	211	H3K27ac	Pancreatic islets
Kidney	kidney	Kidney	212	H3K27ac	Kidney
CNS	Neurosphere	Neurosphere	213	H3K27ac	Neurosphere
CNS	inferior_temporal_lobe	Inferior_temporal_lobe	214	H3K27ac	Inferior temporal lobe
CNS	angular_gyrus	Angular_gyrus	215	H3K27ac	Angular gyrus
CNS	mid_frontal_lobe	Mid_frontal_lobe	216	H3K27ac	Mid frontal lobe
CNS	cingulate_gyrus	Cingulate_gyrus	217	H3K27ac	Cingulate gyrus
CNS	substantia_nigra	Substantia_nigra	218	H3K27ac	Substantia nigra
CNS	anterior_caudate	Anterior_caudate	219	H3K27ac	Anterior caudate
CNS	hippocampus_middle	Hippocampus_middle	220	H3K27ac	Hippocampus middle
